autor,calificacion,contenido,hotel,titulo
Lucie P,,We had lunch a few times there. The food was very good and the service was excellent. The onion soup was great.,,
Lucie P,,"We spent 7 nights at the hotel. We enjoyed each day, beginning with a great breakfast. Our server, Hilda, was very attentive to our needs since we had a few hea,...",,
Lucie P,,"We really enjoyed our tour, very informative. Yes, there is a shop, but nobody puts pressure to buy. My husband was very interested by the old machines of the m,...",,
Lucie P,,"The tour was done in a mini van. Our guide Marlene was very knowledgeable. The walk in the canyon was a bit rough / tricky for people with mobility problem. Mak,...",,
Lucie P,,"We enjoyed our time there. Spent two hours roaming in this city within a city. Beautifully decorated grounds, a bit on the expensive side to visit.",,
Lucie P,,"Pros:-very knowledgeable guide-fantastic driver-the first stop, the Mirador of Yanahuera was the most interesting.Cons:-Other than the first stop who was f,...",,
Lucie P,,Excellent service. The pick up from Doubletree Hotel was on time. The bus was clean and well appointed.,,
Lucie P,,We went arounf 5:30 pm until dark to see the fountains during daylight and night. A beautiful park. Seniors enter free.,,
Lucie P,,"We loved the slow pace of that tour and all the information we gathered. A visit to Lima is incomplete without this tour. Our guides and driver were very courte,...",,
Lucie P,,"It was an interested learning. We don't know much about US history, so it was a learning experience.",,
Lucie P,,"It was a moment of reflection during our trip. We walk through it, sometimes hard to read the information.",,
Lucie P,,I love the fact that they had furnitures as well as paintings. Easy access from the T. It was free on Wednesday.,,
Lucie P,,"Although we are not baseball fans, it was a must stop. Our guide was very knowledgeable. A lot of stairs if you have knee problems. I lived the roof garden, the,...",,
Lucie P,,"We enjoyed our tour. Because we had the 2 day pass for 41+ attractions, we got 2 free mugs, a value of 16$. They were also very generous with the beer. Don't mi,...",,
Lucie P,,Our friends brought us there for supper. Rhe meat was cooked perfectly and juicy. We loved it. This is a busy place too.,,
Lucie P,,"We were there for 2 nights. The view is beautiful, the hotel was very quiet at night, and the service was excellent. For 79$ a night, we were pleased. It is at ,...",,
Lucie P,,"We really enjoyed our trip. It began with a timely pick-up time. OUr guide, Fernando, was very knowledgeable and share many details with us. His spoken English ,...",,
Lucie P,,"Since I am French, I was intrigued by this socalled French restaurant. The ambiance is excellent, the decorations are very nice and the staff was attentive. The,...",,
Lucie P,,"I went twice with a friend at different time of the year. The food was excellent and served hot. They accomodated a special request, and I was quite please with,...",,
Lucie P,,"I loved this museum and the surroundings. It is a hidden gem, not easy to find. The video explains the artist's technique and then you can take a very close loo,...",,
Jeanne M,,"I thanked my travel agent in person for booking me into the Sonesta.  One of my most pleasant hotel stays in memory, and I was disappointed that I had to leave ,...",,
Jeanne M,,"I stayed at Suites Guayaquil because I had a 6 am flight out.  My room was very clean, a full bath with shower.  I was surprised at the stairs to get to my room,...",,
Jessica,,"This is a small(ish) Italian restaurant above a large, high end casino. The food is great—pasta, pizza, salads, soups. The crust on our pizza was perfect thin I,...",,
Jessica,,"I truly wish zero stars were an option. I have never in my life been so horrified by a hotel. The soundproofing between rooms is basically non-existent. The fam,...",,
Jessica,,"Hotel is clean, new, and quiet. Comfortable bed, spacious room, and hot shower. Good place to spend the night while passing through. Well-lit parking lot. Near ,...",,
Jessica,,"I am in Sayulita frequently, and have been going to Marco’s restaurant since it first opened a few years ago. Among other miraculous feats over the years, he ha,...",,
Jessica,,"I’m struggling to know where to start with this one. I can’t think of a time I’ve had an overall more miserable experience at a hotel while on vacation. I note,,...",,
Jessica,,"This hotel was a much-needed oasis of calm and tranquility. We arrived exhausted and stressed after being stuck on an island through a multi-day typhoon at a ho,...",,
Jessica,,"This is long, but the upshot is don’t stay here. The problems started when I arrived at 10 p.m. after a long day of travel, and never stopped. First, I had re,...",,
