,score,name
0,3.0,Manchester United
1,1.0,AFC Bournemouth
2,4.0,Arsenal
3,0.0,Aston Villa
4,1.0,Chelsea
5,1.0,Leicester City
6,3.0,Everton
7,0.0,Norwich City
8,5.0,Newcastle United
9,1.0,Tottenham Hotspur
10,4.0,Southampton
11,1.0,Crystal Palace
12,2.0,Stoke City
13,1.0,West Ham United
14,1.0,Swansea City
15,1.0,Manchester City
16,2.0,Watford
17,2.0,Sunderland
18,1.0,West Bromwich Albion
19,1.0,Liverpool
20,1.0,Liverpool
21,1.0,Chelsea
22,4.0,Norwich City
23,2.0,Watford
24,3.0,Sunderland
25,0.0,Everton
26,3.0,West Ham United
27,2.0,Manchester United
28,2.0,Liverpool
29,0.0,Watford
30,2.0,Manchester City
31,2.0,Arsenal
32,1.0,Tottenham Hotspur
33,2.0,Southampton
34,3.0,Leicester City
35,1.0,Everton
36,0.0,Aston Villa
37,0.0,Newcastle United
38,1.0,AFC Bournemouth
39,1.0,West Bromwich Albion
40,2.0,Crystal Palace
41,1.0,Stoke City
42,3.0,Sunderland
43,2.0,Chelsea
44,1.0,West Ham United
45,4.0,Swansea City
46,0.0,Norwich City
47,1.0,Manchester United
48,2.0,Chelsea
49,2.0,Tottenham Hotspur
50,4.0,Southampton
51,2.0,Manchester City
52,1.0,Manchester United
53,1.0,Leicester City
54,3.0,Swansea City
55,1.0,Liverpool
56,1.0,Arsenal
57,0.0,Norwich City
58,2.0,Everton
59,1.0,AFC Bournemouth
60,1.0,Newcastle United
61,0.0,Crystal Palace
62,1.0,Stoke City
63,1.0,Sunderland
64,3.0,Watford
65,2.0,Aston Villa
66,0.0,West Bromwich Albion
67,3.0,West Ham United
68,1.0,Tottenham Hotspur
69,1.0,West Bromwich Albion
70,4.0,Leicester City
71,0.0,Swansea City
72,0.0,Sunderland
73,0.0,Arsenal
74,2.0,Aston Villa
75,4.0,Southampton
76,1.0,AFC Bournemouth
77,4.0,Chelsea
78,2.0,Liverpool
79,2.0,Newcastle United
80,4.0,Manchester City
81,0.0,Stoke City
82,2.0,Arsenal
83,0.0,West Bromwich Albion
84,4.0,Liverpool
85,0.0,Everton
86,2.0,Manchester United
87,0.0,Crystal Palace
88,3.0,West Ham United
89,1.0,Watford
90,1.0,Newcastle United
91,1.0,Manchester City
92,0.0,Stoke City
93,4.0,Tottenham Hotspur
94,1.0,Arsenal
95,1.0,Crystal Palace
96,1.0,AFC Bournemouth
97,2.0,Liverpool
98,2.0,Leicester City
99,2.0,West Ham United
100,0.0,Chelsea
101,3.0,Manchester City
102,1.0,Everton
103,1.0,Southampton
104,1.0,Manchester United
105,0.0,Aston Villa
106,3.0,Newcastle United
107,0.0,Swansea City
108,0.0,West Bromwich Albion
109,1.0,Watford
110,0.0,Norwich City
111,3.0,Sunderland
112,0.0,Crystal Palace
113,0.0,Everton
114,4.0,Liverpool
115,1.0,Stoke City
116,3.0,Tottenham Hotspur
117,0.0,Manchester United
118,0.0,Sunderland
119,2.0,Leicester City
120,2.0,Manchester City
121,1.0,West Bromwich Albion
122,1.0,Aston Villa
123,2.0,AFC Bournemouth
124,1.0,Crystal Palace
125,0.0,Norwich City
126,3.0,Southampton
127,1.0,Newcastle United
128,1.0,Swansea City
129,0.0,Chelsea
130,1.0,Watford
131,1.0,Everton
132,3.0,West Ham United
133,3.0,Arsenal
134,1.0,Manchester United
135,0.0,Everton
136,1.0,Leicester City
137,0.0,Southampton
138,1.0,Liverpool
139,1.0,Tottenham Hotspur
140,4.0,Arsenal
141,0.0,Watford
142,0.0,AFC Bournemouth
143,4.0,Manchester City
144,3.0,Norwich City
145,2.0,Newcastle United
146,2.0,Stoke City
147,2.0,Swansea City
148,0.0,Sunderland
149,0.0,West Bromwich Albion
150,2.0,West Ham United
151,2.0,Crystal Palace
152,0.0,Aston Villa
153,4.0,Chelsea
154,0.0,Manchester City
155,1.0,Manchester United
156,3.0,Tottenham Hotspur
157,0.0,AFC Bournemouth
158,1.0,Newcastle United
159,1.0,Sunderland
